gene	depth	guuid
Tet(A)	116	0c4950a1-1df1-4fda-9729-7e68f811176f
APH(3')-Ia	37	0c50d664-03b7-40b4-838e-b022f78f2885
DfrA5	40	0c50d664-03b7-40b4-838e-b022f78f2885
GlpT	29	0c50d664-03b7-40b4-838e-b022f78f2885
MarR	21	0c50d664-03b7-40b4-838e-b022f78f2885
PmrB	28	0c50d664-03b7-40b4-838e-b022f78f2885
GlpT	30	0c55e8fa-6671-4834-b48b-5a3704c5a0ca
PmrB	37	0c55e8fa-6671-4834-b48b-5a3704c5a0ca
UhpT	37	0c55e8fa-6671-4834-b48b-5a3704c5a0ca
GlpT	40	0c5ac3a3-34f9-4f99-b054-bf6b05b0454a
PmrB	43	0c5ac3a3-34f9-4f99-b054-bf6b05b0454a
ampC	41	0c5ac3a3-34f9-4f99-b054-bf6b05b0454a
1	180	0c72c666-a331-451c-8b0d-418106ff49bc
AadA1	164	0c72c666-a331-451c-8b0d-418106ff49bc
GlpT	60	0c72c666-a331-451c-8b0d-418106ff49bc
PmrB	64	0c72c666-a331-451c-8b0d-418106ff49bc
Sul1	149	0c72c666-a331-451c-8b0d-418106ff49bc
Tet(A)	143	0c72c666-a331-451c-8b0d-418106ff49bc
CyaA	86	0c778e58-1160-4370-a9c1-d5883cfcf632
GlpT	79	0c778e58-1160-4370-a9c1-d5883cfcf632
GlpT	41	0c8ec316-0cbd-4a57-b2a5-b35ae5c90d1d
PmrB	47	0c8ec316-0cbd-4a57-b2a5-b35ae5c90d1d
GlpT	77	0ca20a4c-4aa6-4a3d-94c0-67749bb48a3c
PmrB	92	0ca20a4c-4aa6-4a3d-94c0-67749bb48a3c
TEM-1	809.5	0ca20a4c-4aa6-4a3d-94c0-67749bb48a3c
GlpT	68	0ca54088-8a5c-4fc9-aa7e-83d5a85afb01
PmrB	74	0ca54088-8a5c-4fc9-aa7e-83d5a85afb01
Sul2	437	0ca54088-8a5c-4fc9-aa7e-83d5a85afb01
TEM-1	480	0ca54088-8a5c-4fc9-aa7e-83d5a85afb01
GlpT	103	0cc903da-8d71-474e-8e49-59e5b2ac9d90
PmrB	106	0cc903da-8d71-474e-8e49-59e5b2ac9d90
1	114	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
AadA1	123	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
DfrA1	105	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
GlpT	64	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
ParE	75	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
PmrB	91	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
PtsI	75	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
Sul1	96	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
TEM-1	101	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
Tet(B)	98	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
UhpT	95	0cd2c03e-fc7e-4408-9b3c-ea57ee7594d4
DfrA1	86	0cd90d7d-7d48-4dad-8293-b297c6acf950
GlpT	61	0cd90d7d-7d48-4dad-8293-b297c6acf950
ParC	69	0cd90d7d-7d48-4dad-8293-b297c6acf950
PmrB	71	0cd90d7d-7d48-4dad-8293-b297c6acf950
Sat2	85	0cd90d7d-7d48-4dad-8293-b297c6acf950
GlpT	15	0cee1931-3f3a-48be-a929-d2e9620b56e3
PmrB	23	0cee1931-3f3a-48be-a929-d2e9620b56e3
Sul2	140	0cee1931-3f3a-48be-a929-d2e9620b56e3
TEM-1	138	0cee1931-3f3a-48be-a929-d2e9620b56e3
APH(3'')-Ib	131	0cfbfbe7-354a-4014-806c-bef148f3ff68
APH(6)-Id	141	0cfbfbe7-354a-4014-806c-bef148f3ff68
GlpT	69	0cfbfbe7-354a-4014-806c-bef148f3ff68
MarR	57	0cfbfbe7-354a-4014-806c-bef148f3ff68
PmrB	80	0cfbfbe7-354a-4014-806c-bef148f3ff68
Sul2	179	0cfbfbe7-354a-4014-806c-bef148f3ff68
TEM-1	147	0cfbfbe7-354a-4014-806c-bef148f3ff68
Tet(D)	60	0cfbfbe7-354a-4014-806c-bef148f3ff68
GlpT	69	0d012261-0b9a-4476-bf82-71ca076be400
MarR	70	0d012261-0b9a-4476-bf82-71ca076be400
1	124	0d1c0a8e-b14a-459b-b057-116501def326
2'-phosphotransferase	269	0d1c0a8e-b14a-459b-b057-116501def326
APH(3'')-Ib	117	0d1c0a8e-b14a-459b-b057-116501def326
APH(6)-Id	123	0d1c0a8e-b14a-459b-b057-116501def326
AadA5	120	0d1c0a8e-b14a-459b-b057-116501def326
DfrA17	142	0d1c0a8e-b14a-459b-b057-116501def326
GlpT	88	0d1c0a8e-b14a-459b-b057-116501def326
GyrA	95	0d1c0a8e-b14a-459b-b057-116501def326
NfsA	87	0d1c0a8e-b14a-459b-b057-116501def326
ParC	100	0d1c0a8e-b14a-459b-b057-116501def326
ParE	92	0d1c0a8e-b14a-459b-b057-116501def326
PmrB	95	0d1c0a8e-b14a-459b-b057-116501def326
Sul1	111	0d1c0a8e-b14a-459b-b057-116501def326
Sul2	122	0d1c0a8e-b14a-459b-b057-116501def326
TEM-1	330.5	0d1c0a8e-b14a-459b-b057-116501def326
Tet(B)	143	0d1c0a8e-b14a-459b-b057-116501def326
GlpT	93	0d26d75e-8b68-4cde-81ec-c157bf5e809b
PmrB	111	0d26d75e-8b68-4cde-81ec-c157bf5e809b
APH(3'')-Ib	567	0d3f3676-6166-42d4-8156-3f0e3f1d85d7
APH(6)-Id	434	0d3f3676-6166-42d4-8156-3f0e3f1d85d7
DfrA14	510	0d3f3676-6166-42d4-8156-3f0e3f1d85d7
Sul2	507	0d3f3676-6166-42d4-8156-3f0e3f1d85d7
Tet(A)	476	0d3f3676-6166-42d4-8156-3f0e3f1d85d7
1	123	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
2'-phosphotransferase	110	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
APH(3'')-Ib	127	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
APH(6)-Id	106	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
AadA5	112	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
CyaA	84	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
DfrA17	116	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
GlpT	66	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
O-acetyltransferase	160	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
Sul1	110	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
Sul2	115	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
TEM-1	110	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
Tet(B)	124	0d40fe0c-3c24-42c8-90c7-ed2849f16b3b
APH(3'')-Ib	206	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
APH(6)-Id	185	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
GlpT	99.5	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
GyrA	99	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
MarR	84	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
ParE	109	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
PmrB	111	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
Sul2	193	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
TEM-1	203	0d4789a2-71a6-4db7-b0c0-bb15a9ade85d
GlpT	82	0d4f1a79-ee33-4d99-a167-a45c1f319726
PmrB	97	0d4f1a79-ee33-4d99-a167-a45c1f319726
FosA7.5	89	0d5ea41a-d1b8-4205-b92a-dd373775dfc1
GlpT	73	0d5ea41a-d1b8-4205-b92a-dd373775dfc1
PmrB	80	0d5ea41a-d1b8-4205-b92a-dd373775dfc1
ampC	73	0d5ea41a-d1b8-4205-b92a-dd373775dfc1
GlpT	20	0d6465b7-c1d1-4485-82ac-3bf2e2937535
MarR	15	0d6465b7-c1d1-4485-82ac-3bf2e2937535
ParE	22	0d6465b7-c1d1-4485-82ac-3bf2e2937535
PmrB	18	0d6465b7-c1d1-4485-82ac-3bf2e2937535
GlpT	24	0d69c4c6-b873-4ea2-bb82-5dae5ce4792f
PmrB	28	0d69c4c6-b873-4ea2-bb82-5dae5ce4792f
DfrA1	120	0d88da70-e4de-4dd6-93f3-aba2ab0dacb0
GlpT	59	0d88da70-e4de-4dd6-93f3-aba2ab0dacb0
GyrA	66	0d88da70-e4de-4dd6-93f3-aba2ab0dacb0
NfsA	65	0d88da70-e4de-4dd6-93f3-aba2ab0dacb0
ParC	65	0d88da70-e4de-4dd6-93f3-aba2ab0dacb0
Sul2	97	0d88da70-e4de-4dd6-93f3-aba2ab0dacb0
TEM-1	128	0d88da70-e4de-4dd6-93f3-aba2ab0dacb0
APH(3'')-Ib	420.5	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
APH(6)-Id	464	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
DfrA14	281	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
DfrA5	139	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
GlpT	90	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
PmrB	127	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
Sul2	478	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
TEM-1	399	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
Tet(A)	321	0d95fe0c-8b34-4d43-b5fa-5245fcb3ebd3
APH(3'')-Ib	75	0d9b6457-3985-4783-9a1f-eb4303e07546
APH(6)-Id	69	0d9b6457-3985-4783-9a1f-eb4303e07546
DfrA5	74	0d9b6457-3985-4783-9a1f-eb4303e07546
GlpT	54	0d9b6457-3985-4783-9a1f-eb4303e07546
MarR	44	0d9b6457-3985-4783-9a1f-eb4303e07546
PmrB	71	0d9b6457-3985-4783-9a1f-eb4303e07546
Sul2	76	0d9b6457-3985-4783-9a1f-eb4303e07546
TEM-1	90	0d9b6457-3985-4783-9a1f-eb4303e07546
Tet(A)	74	0d9b6457-3985-4783-9a1f-eb4303e07546
GlpT	82	0dabb71a-4b91-46c2-a26b-943fe17151d7
MarR	79	0dabb71a-4b91-46c2-a26b-943fe17151d7
PmrB	110	0dabb71a-4b91-46c2-a26b-943fe17151d7
GlpT	76	0dba3329-df7a-4a0d-8364-95104b640037
PmrB	91	0dba3329-df7a-4a0d-8364-95104b640037
AAC(3)-IIe	56	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
AAC(6')-Ib-cr5	68	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
CTX-M-15	68	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
CatB3	71	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
GlpT	66	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
GyrA	69	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
OXA-1	67	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
ParC	67	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
ParE	66	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
PmrB	77	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
PtsI	75	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
UhpT	80	0dbf1f43-cce7-4d7d-a978-b8c6b0c2ffd6
GlpT	95	0de16b53-07a2-465a-8fe3-1f5d95844623
ParE	100	0de16b53-07a2-465a-8fe3-1f5d95844623
PmrB	95	0de16b53-07a2-465a-8fe3-1f5d95844623
UhpT	109	0de16b53-07a2-465a-8fe3-1f5d95844623
GlpT	69	0de49eab-5193-4a56-92b7-e48cb0ed8dc0
MarR	64	0de49eab-5193-4a56-92b7-e48cb0ed8dc0
PmrB	81	0de49eab-5193-4a56-92b7-e48cb0ed8dc0
GlpT	71	0deb797c-c6c0-4c93-a4d6-7fd43f345082
ParE	86	0deb797c-c6c0-4c93-a4d6-7fd43f345082
PmrB	93	0deb797c-c6c0-4c93-a4d6-7fd43f345082
PtsI	87	0deb797c-c6c0-4c93-a4d6-7fd43f345082
UhpT	108	0deb797c-c6c0-4c93-a4d6-7fd43f345082
AadA1	95	0defa9a8-01fd-4c0d-8239-0fbc4595b276
DfrA1	141	0defa9a8-01fd-4c0d-8239-0fbc4595b276
GlpT	61	0defa9a8-01fd-4c0d-8239-0fbc4595b276
GyrA	74	0defa9a8-01fd-4c0d-8239-0fbc4595b276
PmrB	101	0defa9a8-01fd-4c0d-8239-0fbc4595b276
Sat2	99	0defa9a8-01fd-4c0d-8239-0fbc4595b276
GlpT	51	0df2177e-a058-4aeb-a077-bf22f14fccfd
MarR	57	0df2177e-a058-4aeb-a077-bf22f14fccfd
ampC	51	0df2177e-a058-4aeb-a077-bf22f14fccfd
GlpT	67	0df2bfbf-ae2f-40fd-84c7-9c89c2393d12
GyrA	65	0df2bfbf-ae2f-40fd-84c7-9c89c2393d12
PmrB	70	0df2bfbf-ae2f-40fd-84c7-9c89c2393d12
GlpT	111	0e386bf5-c88a-4f17-9177-8db3f3bb73a0
MarR	119.5	0e386bf5-c88a-4f17-9177-8db3f3bb73a0
PmrB	125	0e386bf5-c88a-4f17-9177-8db3f3bb73a0
GlpT	73	0e53eb46-f343-42a6-9fb8-8deacb4a7ea7
MarR	55	0e53eb46-f343-42a6-9fb8-8deacb4a7ea7
PmrB	93	0e53eb46-f343-42a6-9fb8-8deacb4a7ea7
GlpT	84	0e624267-9f5f-4a03-bb74-621a6fb66934
PmrB	112	0e624267-9f5f-4a03-bb74-621a6fb66934
UhpT	112	0e624267-9f5f-4a03-bb74-621a6fb66934
GlpT	42	0e8012ef-3aa9-438d-8d17-2628028d6c8a
PmrB	52	0e8012ef-3aa9-438d-8d17-2628028d6c8a
1	198	0e8fba72-8449-46ce-b62f-5ac5b8061645
2'-phosphotransferase	123	0e8fba72-8449-46ce-b62f-5ac5b8061645
AadA5	175	0e8fba72-8449-46ce-b62f-5ac5b8061645
DfrA17	222	0e8fba72-8449-46ce-b62f-5ac5b8061645
GlpT	72	0e8fba72-8449-46ce-b62f-5ac5b8061645
GyrA	71	0e8fba72-8449-46ce-b62f-5ac5b8061645
ParC	76	0e8fba72-8449-46ce-b62f-5ac5b8061645
ParE	82	0e8fba72-8449-46ce-b62f-5ac5b8061645
PmrB	94	0e8fba72-8449-46ce-b62f-5ac5b8061645
PtsI	82	0e8fba72-8449-46ce-b62f-5ac5b8061645
Sul1	139	0e8fba72-8449-46ce-b62f-5ac5b8061645
UhpT	88	0e8fba72-8449-46ce-b62f-5ac5b8061645
GlpT	45	0edf73c5-02d8-432f-951d-8d944d4dc2fc
PmrB	47	0edf73c5-02d8-432f-951d-8d944d4dc2fc
1	97	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
2'-phosphotransferase	82	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
APH(3'')-Ib	96	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
APH(6)-Id	88	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
AadA5	91	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
CyaA	65	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
DfrA17	77	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
GlpT	44	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
Sul1	90	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
Sul2	85	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
TEM-1	201	0efc7b1e-fdd3-4c54-83b3-8acfe49c67f4
1	102	0f041651-f6e2-48df-bd2e-e6b51ec22ed4
AadA1	109	0f041651-f6e2-48df-bd2e-e6b51ec22ed4
GlpT	56	0f041651-f6e2-48df-bd2e-e6b51ec22ed4
PmrB	65	0f041651-f6e2-48df-bd2e-e6b51ec22ed4
Sul1	53	0f041651-f6e2-48df-bd2e-e6b51ec22ed4
Tet(D)	72	0f041651-f6e2-48df-bd2e-e6b51ec22ed4
1	103	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
APH(3'')-Ib	89	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
APH(6)-Id	81	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
AadA1	138	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
DfrA1	148	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
GlpT	67	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
GyrA	73	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
PmrB	72	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
Sul1	47	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
Sul2	66	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
TEM-1	115	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
Tet(B)	129	0f117678-c4fb-4bf5-8353-e8c3d5777d6f
GlpT	81	0f22654a-dc2b-4282-84f7-3870967971d5
MarR	62	0f22654a-dc2b-4282-84f7-3870967971d5
PmrB	104	0f22654a-dc2b-4282-84f7-3870967971d5
APH(3'')-Ib	189	0f44af52-6d0a-4a5f-b62c-396d263a7013
APH(6)-Id	170	0f44af52-6d0a-4a5f-b62c-396d263a7013
GlpT	82	0f44af52-6d0a-4a5f-b62c-396d263a7013
MarR	77	0f44af52-6d0a-4a5f-b62c-396d263a7013
PmrB	93	0f44af52-6d0a-4a5f-b62c-396d263a7013
Sul2	175	0f44af52-6d0a-4a5f-b62c-396d263a7013
TEM-1	1215.5	0f44af52-6d0a-4a5f-b62c-396d263a7013
GlpT	74	0f4817b8-0985-4f92-abd7-e1d2419f0414
PmrB	75	0f4817b8-0985-4f92-abd7-e1d2419f0414
AAC(3)-IIe	132	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
AAC(6')-Ib-cr5	129	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
APH(3'')-Ib	134	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
APH(6)-Id	156	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
CatB3	155	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
GlpT	83	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
GyrA	83	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
OXA-1	184	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
ParC	104	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
ParE	104	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
PmrB	105	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
PtsI	84	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
Sul2	107	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
Tet(A)	128	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
UhpT	122	0f4ccb3b-06f5-42a2-b96f-931907b8bfb8
GlpT	63	0f5b24e3-d30f-4af2-be5a-51d408291940
PmrB	54	0f5b24e3-d30f-4af2-be5a-51d408291940
UhpT	69	0f5b24e3-d30f-4af2-be5a-51d408291940
GlpT	22	0f7ad75e-b243-4559-901e-ae101643398f
MarR	14	0f7ad75e-b243-4559-901e-ae101643398f
PmrB	24	0f7ad75e-b243-4559-901e-ae101643398f
1	76	0f7cb97d-6ee7-46bd-add5-446a97f6b422
APH(3'')-Ib	69	0f7cb97d-6ee7-46bd-add5-446a97f6b422
APH(6)-Id	62	0f7cb97d-6ee7-46bd-add5-446a97f6b422
CyaA	76	0f7cb97d-6ee7-46bd-add5-446a97f6b422
DfrA7	92	0f7cb97d-6ee7-46bd-add5-446a97f6b422
GlpT	66	0f7cb97d-6ee7-46bd-add5-446a97f6b422
Sul1	60	0f7cb97d-6ee7-46bd-add5-446a97f6b422
Sul2	74	0f7cb97d-6ee7-46bd-add5-446a97f6b422
TEM-1	223	0f7cb97d-6ee7-46bd-add5-446a97f6b422
Tet(A)	64	0f7cb97d-6ee7-46bd-add5-446a97f6b422
CyaA	91	0fa63730-5b81-447c-90c6-438156079722
GlpT	83	0fa63730-5b81-447c-90c6-438156079722
Tet(A)	76	0fa63730-5b81-447c-90c6-438156079722
1	25	0fa72022-7976-4b12-b489-184837a1cc88
AadA1	28	0fa72022-7976-4b12-b489-184837a1cc88
DfrA1	33	0fa72022-7976-4b12-b489-184837a1cc88
GlpT	15	0fa72022-7976-4b12-b489-184837a1cc88
PmrB	21	0fa72022-7976-4b12-b489-184837a1cc88
Sul1	23	0fa72022-7976-4b12-b489-184837a1cc88
TEM-1	33	0fa72022-7976-4b12-b489-184837a1cc88
Tet(B)	33	0fa72022-7976-4b12-b489-184837a1cc88
GlpT	21	0fd74931-261a-480c-920f-6935bd8d0756
PmrB	25	0fd74931-261a-480c-920f-6935bd8d0756
GlpT	79	1004c54f-856d-4ae0-aa82-f3d7c96646df
PmrB	86	1004c54f-856d-4ae0-aa82-f3d7c96646df
APH(3'')-Ib	227	102bcca4-ee70-4251-bef5-bcfaebc1e3dc
GlpT	68	102bcca4-ee70-4251-bef5-bcfaebc1e3dc
PmrB	84	102bcca4-ee70-4251-bef5-bcfaebc1e3dc
Sul2	215	102bcca4-ee70-4251-bef5-bcfaebc1e3dc
TEM-1	792	102bcca4-ee70-4251-bef5-bcfaebc1e3dc
UhpT	88	102bcca4-ee70-4251-bef5-bcfaebc1e3dc
1	78	102bfdb5-6746-4e12-a938-53396d601a5d
APH(3'')-Ib	159	102bfdb5-6746-4e12-a938-53396d601a5d
APH(3')-Ia	193	102bfdb5-6746-4e12-a938-53396d601a5d
APH(6)-Id	150	102bfdb5-6746-4e12-a938-53396d601a5d
CTX-M-14	145	102bfdb5-6746-4e12-a938-53396d601a5d
CyaA	73	102bfdb5-6746-4e12-a938-53396d601a5d
DfrA7	87	102bfdb5-6746-4e12-a938-53396d601a5d
GlpT	58	102bfdb5-6746-4e12-a938-53396d601a5d
GyrA	65	102bfdb5-6746-4e12-a938-53396d601a5d
ParC	65	102bfdb5-6746-4e12-a938-53396d601a5d
ParE	72	102bfdb5-6746-4e12-a938-53396d601a5d
Sul1	65	102bfdb5-6746-4e12-a938-53396d601a5d
Sul2	142	102bfdb5-6746-4e12-a938-53396d601a5d
Tet(A)	68	102bfdb5-6746-4e12-a938-53396d601a5d
UhpT	77	102bfdb5-6746-4e12-a938-53396d601a5d
GlpT	79	10554175-1812-4506-a177-a0d0c0206ac0
PmrB	98	10554175-1812-4506-a177-a0d0c0206ac0
UhpT	94	10554175-1812-4506-a177-a0d0c0206ac0
1	112	105812ea-037d-42ca-a5c5-564ce00bd139
APH(3'')-Ib	432	105812ea-037d-42ca-a5c5-564ce00bd139
APH(6)-Id	363	105812ea-037d-42ca-a5c5-564ce00bd139
CyaA	119	105812ea-037d-42ca-a5c5-564ce00bd139
DfrA14	314	105812ea-037d-42ca-a5c5-564ce00bd139
DfrA7	93	105812ea-037d-42ca-a5c5-564ce00bd139
GlpT	102	105812ea-037d-42ca-a5c5-564ce00bd139
Sul1	125	105812ea-037d-42ca-a5c5-564ce00bd139
Sul2	408	105812ea-037d-42ca-a5c5-564ce00bd139
TEM-1	374	105812ea-037d-42ca-a5c5-564ce00bd139
Tet(A)	398	105812ea-037d-42ca-a5c5-564ce00bd139
CyaA	91	105967b4-24f8-4f48-8816-fb5adf18c016
GlpT	62	105967b4-24f8-4f48-8816-fb5adf18c016
TEM-1	571	105967b4-24f8-4f48-8816-fb5adf18c016
UhpT	97	105967b4-24f8-4f48-8816-fb5adf18c016
GlpT	96	1079122b-0101-4d7c-98dc-1a79b14756f6
PmrB	99	1079122b-0101-4d7c-98dc-1a79b14756f6
1	121	1083aa05-2f07-4c22-9184-9c8cdac5e321
2'-phosphotransferase	85	1083aa05-2f07-4c22-9184-9c8cdac5e321
AAC(3)-IId	104	1083aa05-2f07-4c22-9184-9c8cdac5e321
AadA2	117	1083aa05-2f07-4c22-9184-9c8cdac5e321
CyaA	64	1083aa05-2f07-4c22-9184-9c8cdac5e321
DfrA12	102	1083aa05-2f07-4c22-9184-9c8cdac5e321
GlpT	58	1083aa05-2f07-4c22-9184-9c8cdac5e321
GyrA	58	1083aa05-2f07-4c22-9184-9c8cdac5e321
ParC	59	1083aa05-2f07-4c22-9184-9c8cdac5e321
Sul1	106	1083aa05-2f07-4c22-9184-9c8cdac5e321
TEM-1	118	1083aa05-2f07-4c22-9184-9c8cdac5e321
GlpT	74	10882496-5c60-4192-b7ff-f1ef98e791ef
PmrB	88	10882496-5c60-4192-b7ff-f1ef98e791ef
1	293	1088d896-99e3-41a9-97ea-cad622749474
APH(3'')-Ib	57	1088d896-99e3-41a9-97ea-cad622749474
APH(6)-Id	62	1088d896-99e3-41a9-97ea-cad622749474
AadA5	260	1088d896-99e3-41a9-97ea-cad622749474
CyaA	38	1088d896-99e3-41a9-97ea-cad622749474
DfrA17	315	1088d896-99e3-41a9-97ea-cad622749474
GlpT	37	1088d896-99e3-41a9-97ea-cad622749474
Sul1	213	1088d896-99e3-41a9-97ea-cad622749474
Sul2	54	1088d896-99e3-41a9-97ea-cad622749474
TEM-1	302	1088d896-99e3-41a9-97ea-cad622749474
GlpT	83	10cee15d-06e2-4ae2-9155-2f0581ef0a3a
GyrA	88	10cee15d-06e2-4ae2-9155-2f0581ef0a3a
MarR	82	10cee15d-06e2-4ae2-9155-2f0581ef0a3a
PmrB	91	10cee15d-06e2-4ae2-9155-2f0581ef0a3a
2'-phosphotransferase	180	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
APH(3'')-Ib	182	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
APH(6)-Id	179	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
AadA5	170	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
CyaA	110	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
DfrA17	133	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
GlpT	95	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
Sul2	177	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
TEM-1	163	10e90ae7-2909-44bb-9a8e-dd2b6f7b6439
1	144	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
AadA5	119	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
DfrA17	149	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
GlpT	70	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
ParE	88	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
PmrB	87	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
PtsI	81	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
Sul1	115	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
TEM-1	150	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
UhpT	100	10ee6c93-6c0a-48a2-aa11-c05ec1ec05ac
GlpT	90	11106aaf-587d-4229-b8bf-5f1eb02973eb
PmrB	98	11106aaf-587d-4229-b8bf-5f1eb02973eb
Tet(B)	95	11106aaf-587d-4229-b8bf-5f1eb02973eb
APH(3'')-Ib	87	11540ee1-36b6-4b88-a504-96dd0bc62866
APH(3')-Ia	97	11540ee1-36b6-4b88-a504-96dd0bc62866
APH(6)-Id	73	11540ee1-36b6-4b88-a504-96dd0bc62866
AadA1	66	11540ee1-36b6-4b88-a504-96dd0bc62866
DfrA1	76	11540ee1-36b6-4b88-a504-96dd0bc62866
GlpT	57	11540ee1-36b6-4b88-a504-96dd0bc62866
GyrA	48	11540ee1-36b6-4b88-a504-96dd0bc62866
